sampleID,siteName,siteID,dateCollected (dd/mm/yy),month,Waterway,timeCollected (hh:mm),highTide (hh:mm),TimeSinceHighTide (hh:mm),tide,collector,latitude..xx.xxxxxx.,longitude..x.xxxxxx.,PlusCode,waterSample,sedimentSample,daysSinceRain,notes,ColiformsNonEC,E.coli,TotalColiforms,entericEnterococci,ESBL,Total_Vancomycin_resistant,Vancomycin_resistant_E.faecilis,method,RIVPACS,MPN
AA24,1 Manningtree outlet,St_1,04/08/2023,August,Stour,15:00,14:54,00:06,slack,JuliaE,51.95039,1.055953,X324+594,1,0,0,Heavy rain just before,NC,22160,NC,5520,NA,NA,NA,membrane filtration,,
AA25,1 Manningtree outlet,St_1,04/08/2023,August,Stour,15:00,14:54,00:06,slack,JuliaE,51.95039,1.055953,X324+594,1,0,0,Heavy rain just before,NC,19600,NC,5680,NA,NA,NA,membrane filtration,,
AA71,1 Manningtree outlet,St_1,04/09/2023,September,Stour,14:51,15:48,,,"JuliaE, CathA",51.95039,1.055953,X324+594,1,0,4,Water grimy with scum on it. Sunny hot day.,NC,3680,NC,NC,NA,NA,NA,membrane filtration,,
AB03,1 Manningtree outlet,St_1,02/10/2023,October,Stour,14:42,14:42,00:00,,"JuliaE, LornaC",51.95039,1.055953,X324+594,1,0,3,Big tide. Warm. Scum on water,NC,13552,NC,1840,NC,112,112,membrane filtration,,
AB29,1 Manningtree outlet,St_1,01/11/2023,November,Stour,13:10,13:56,,,"Julia, Cath, Lorna",51.95039,1.055953,X324+594,1,0,0,,5880,4760,10640,1000,640,220,220,membrane filtration,,
AB49,1 Manningtree outlet,St_1,12/12/2023,December,Stour,09:48,11.19,10:48,,"Julia, Cath, Lorna",51.95039,1.055953,X324+594,1,0,1,"Sunny, mild and calm",NC,1680,NC,640,850,330,330,membrane filtration,,
AB65,1 Manningtree outlet,St_1,09/01/2024,January,Stour,10:05,10:56,11:35,Flood,Lorna & Julia,51.95039,1.055953,X324+594,1,0,2,"Very cold, water temp 1 degree. Sunny ",NC,2460,NC,1960,NA,NA,NA,membrane filtration,,
AB81,1 Manningtree outlet,St_1,09/02/2024,February,Stour,10:18,11:38,11:10,Flood,Lorna & Julia & Ellie,51.95039,1.055953,X324+594,1,0,0,Very calm still water,NC,4280,NC,2360,NA,NA,NA,membrane filtration,,
AB98,1 Manningtree outlet,St_1,11/03/2024,March,Stour,11:51,12:55,11:25,Flood,"Catherine,  Lorna & Julia",51.95039,1.055953,X324+594,1,0,0,"Cloudy, grey, fairly calm",NC,NC,NC,7320,NC,320,280,membrane filtration,,
AC17,1 Manningtree outlet,St_1,05/04/2024,April,Stour,08:54,10:02,11:51,Flood,Julia & Lorna,51.95039,1.055953,X324+594,1,0,0,"Light rain, water calm",4900,700,5600,600,NC,200,200,membrane filtration,,
AC58,1 Manningtree outlet,St_1,20/05/2024,May,Stour,08:54,10:02,,,"Catherine, Lorna & Julia",51.95039,1.055953,X324+594,1,0,,,,,,,,,,,,
AC94,1 Manningtree outlet,St_1,24/06/2024,June,Stour,,,,,"Catherine, Lorna & Julia",51.95039,1.055953,X324+594,1,0,,,,,,,,,,,,
AC04,6 Bradfield,St_11,11/03/2024,March,Stour,10:30,12:49,10:11,Flood,"Catherine, Lorna & Julia",51.940263,1.11995,W4R9+4X4,1,0,0,"Cloudy, grey, fairly calm",NC,30,NC,170,10,0,0,membrane filtration,,
AC22,6 Bradfield,St_11,05/04/2024,April,Stour,08:35,09:56,11:32,Flood,Julia & Lorna,51.940263,1.11995,W4R9+4X4,1,0,0,"Light rain, water calm",0,0,0,0,740,0,0,membrane filtration,,
AC63,6 Bradfield,St_11,20/05/2024,May,Stour,08:35,09:56,,,"Catherine, Lorna & Julia",51.940263,1.11995,W4R9+4X4,1,0,,,,,,,,,,,,
AC99,6 Bradfield,St_11,24/06/2024,June,Stour,,,,,"Catherine, Lorna & Julia",51.940263,1.11995,W4R9+4X4,1,0,,,,,,,,,,,,
AC26,Rushbanks,St_12,29/04/2024,April,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,,,,10500,2600,13100,650,NA,NA,NA,membrane filtration,,
AC27,Rushbanks,St_12,29/04/2024,April,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,,,,11500,1300,12800,490,NA,NA,NA,membrane filtration,,
AC28,Rushbanks,St_12,29/04/2024,April,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,,,,12100,1500,13600,430,NA,NA,NA,membrane filtration,,
AC29,Rushbanks,St_12,29/04/2024,April,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,,,,,2800,2800,,NA,NA,NA,petriFilm,,"1,1 MPN=1386.331/100ml"
AC30,Rushbanks,St_12,29/04/2024,April,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,,,,,2400,2400,,NA,NA,NA,petriFilm,,"1,1 u95%= 3682.320/100ml"
AC31,Rushbanks,St_12,29/04/2024,April,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,,,,,1800,1800,,NA,NA,NA,petriFilm,,"1,1 u90%=2872.704/100ml"
AC32,Rushbanks,St_12,07/04/2024,May,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,,,,11200,400,11600,1200,NA,NA,NA,membrane filtration,,"1,0"
AC33,Rushbanks,St_12,07/04/2024,May,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,,,,12400,400,12800,480,NA,NA,NA,membrane filtration,,
AC34,Rushbanks,St_12,07/04/2024,May,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,,,,10000,200,10200,1600,NA,NA,NA,membrane filtration,,
AC35,Rushbanks,St_12,13/04/2024,May,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,,,,33620,400,34020,800,NA,NA,NA,membrane filtration,,
AC36,Rushbanks,St_12,13/04/2024,May,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,,,,28700,320,29020,1520,NA,NA,NA,membrane filtration,,
AC37,Rushbanks,St_12,13/04/2024,May,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,,,,21320,560,21880,720,NA,NA,NA,membrane filtration,,
AC64,Rushbanks,St_12,21/05/2024,May,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,0,,,31600,1040,32640,80,,,,,,
AC65,Rushbanks,St_12,21/05/2024,May,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,0,,,20000,560,20560,80,,,,,,
AC66,Rushbanks,St_12,21/05/2024,May,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,0,,,23200,720,23920,80,,,,,,
AC67,Rushbanks,St_12,10/06/2024,June,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,0,,,5040,80,,,,,,,,
AC68,Rushbanks,St_12,10/06/2024,June,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,0,,,6480,80,,,,,,,,
AC69,Rushbanks,St_12,10/06/2024,June,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,0,,,3840,160,,,,,,,,
AC70,Rushbanks,St_12,17/06/2024,June,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,0,,,,200,,180,,,,,,
AC71,Rushbanks,St_12,24/06/2024,June,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,0,,,,260,,20,,,,,,
AC72,Rushbanks,St_12,24/06/2024,June,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,0,,,,280,,40,,,,,,
AC73,Rushbanks,St_12,24/06/2024,June,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,0,,,,200,,40,,,,,,
AC78,Rushbanks,St_12,02/07/2024,June,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,0,,,,60,,60,,,,,,
AC79,Rushbanks,St_12,02/07/2024,June,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,0,,,,60,,60,,,,,,
AC80,Rushbanks,St_12,02/07/2024,June,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,0,,,,220,,160,,,,,,
AC81,Rushbanks,St_12,08/07/2024,June,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,0,,,,1880,,200,,,,,,
AC82,Rushbanks,St_12,08/07/2024,June,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,0,,,,1200,,200,,,,,,
AC85,Rushbanks,St_12,22/07/2024,June,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,0,,,,210,,,,,,,,
AC86,Rushbanks,St_12,22/07/2024,June,Stour,,,,,James,51.964694,0.836083,XR7P+VCG,1,0,,,,280,,,,,,,,
AC83,Dedham Bridge,St_13,04/07/2024,June,Stour,,NA,NA,NA,Boyd,51.962523,0.993981,XX7v+2H5,1,0,,,,40,,0,,,,,,
AA26,2 Brantham CSO,St_2,04/08/2023,August,Stour,15:30,14:54,00:36,slack,CatherineA,51.95604,1.058984,X345+CH9,1,0,0,Heavy rain just before,NC,1360,NC,1440,NA,NA,NA,membrane filtration,,
AA27,2 Brantham CSO,St_2,04/08/2023,August,Stour,15:30,14:54,00:36,slack,CatherineA,51.95604,1.058984,X345+CH9,1,0,0,Heavy rain just before,NC,1040,NC,1280,NA,NA,NA,membrane filtration,,
AA28,2 Brantham CSO,St_2,04/08/2023,August,Stour,15:30,14:54,00:36,slack,CatherineA,51.95604,1.058984,X345+CH9,1,0,0,Heavy rain just before,NC,1200,NC,1200,NA,NA,NA,membrane filtration,,
AA72,2 Brantham CSO,St_2,04/09/2023,September,Stour,15:10,15:48,,,"JuliaE, CathA",51.95604,1.058984,X345+CH9,1,0,4,Water grimy with scum on it. Sunny hot day.,NC,120,NC,NC,NA,NA,NA,membrane filtration,,
AB04,2 Brantham CSO,St_2,02/10/2023,October,Stour,15:11,14:42,00:29,,"JuliaE, LornaC",51.95604,1.058984,X345+CH9,1,0,3,Big tide. Warm. Scum on water,1488,560,2048,704,32,4096,4096,membrane filtration,,
AB30,2 Brantham CSO,St_2,01/11/2023,November,Stour,12:47,13:56,,,JuliaE,51.95604,1.058984,X345+CH9,1,0,0,"Grey day, rain earlier in day. Very large tide",880,980,1860,1840,270,400,400,membrane filtration,,
AB50,2 Brantham CSO,St_2,12/12/2023,December,Stour,09:18,11.19,10:18,,"Julia, Cath, Lorna",51.95604,1.058984,X345+CH9,1,0,1,"Sunny, mild and calm",NC,260,NC,380,320,540,540,membrane filtration,,
AB66,2 Brantham CSO,St_2,09/01/2024,January,Stour,09:35,10:56,11:05,Flood,Lorna & Julia,51.95604,1.058984,X345+CH9,1,0,2,"Very cold, water temp 1 degree. Sunny ",NC,320,NC,100,NA,NA,NA,membrane filtration,,
AB82,2 Brantham CSO,St_2,09/02/2024,February,Stour,09:45,11:38,10:37,Flood,Lorna & Julia,51.95604,1.058984,X345+CH9,1,0,0,Very calm still water,NC,1700,NC,3200,NA,NA,NA,membrane filtration,,
AB99,2 Brantham CSO,St_2,11/03/2024,March,Stour,11:30,12:55,11:04,Flood,"Catherine, Lorna & Julia",51.95604,1.058984,X345+CH9,1,0,0,"Cloudy, grey, fairly calm",NC,900,NC,140,1740,0,0,membrane filtration,,
AC18,2 Brantham CSO,St_2,05/04/2024,April,Stour,08:35,10:02,11:32,Flood,Julia & Lorna,51.95604,1.058984,X345+CH9,1,0,0,"Light rain, water calm",660,40,700,0,1240,0,0,membrane filtration,,
AC59,2 Brantham CSO,St_2,20/05/2024,May,Stour,08:35,10:02,,,"Catherine, Lorna & Julia",51.95604,1.058984,X345+CH9,1,0,,,,,,,,,,,,
AC95,2 Brantham CSO,St_2,24/06/2024,June,Stour,,,,,"Catherine, Lorna & Julia",51.95604,1.058984,X345+CH9,1,0,,,,,,,,,,,,
AA29,3 Manningtree CSO ?,St_3,04/08/2023,August,Stour,16:05,14:54,01:11,ebb,JuliaE,51.94671,1.061797,W3W6+MPM,1,0,0,Heavy rain just before,992,96,1088,40,NA,NA,NA,membrane filtration,,
AA30,3 Manningtree CSO ?,St_3,04/08/2023,August,Stour,16:05,14:54,01:11,ebb,JuliaE,51.94671,1.061797,W3W6+MPM,1,0,0,Heavy rain just before,NC,360,NC,128,NA,NA,NA,membrane filtration,,
AA31,3 Manningtree CSO ?,St_3,04/08/2023,August,Stour,16:05,14:54,01:11,ebb,JuliaE,51.94671,1.061797,W3W6+MPM,1,0,0,Heavy rain just before,NC,384,NC,160,NA,NA,NA,membrane filtration,,
AA73,3 Manningtree CSO ?,St_3,04/09/2023,September,Stour,15:38,15:48,,,"JuliaE, CathA",51.94671,1.061797,W3W6+MPM,1,0,4,Water grimy with scum on it. Sunny hot day.,NC,16,NC,NC,NA,NA,NA,membrane filtration,,
AB05,3 Manningtree CSO,St_3,02/10/2023,October,Stour,14:52,14:42,00:10,,"JuliaE, LornaC",51.94671,1.061797,W3W6+MPM,1,0,3,Big tide. Warm. Scum on water,432,128,560,240,16,0,0,membrane filtration,,
AB31,3 Manningtree CSO,St_3,01/11/2023,November,Stour,13:02,13:56,,,"Julia, Cath, Lorna",51.94671,1.061797,W3W6+MPM,1,0,0,"Grey day, rain earlier in day. Very large tide",120,20,140,240,70,30,30,membrane filtration,,
AB51,3 Manningtree CSO,St_3,12/12/2023,December,Stour,10:00,11.19,11:00,,"Julia, Cath, Lorna",51.94671,1.061797,W3W6+MPM,1,0,1,"Sunny, mild and calm",3060,60,3120,180,30,40,40,membrane filtration,,
AB67,3 Manningtree CSO,St_3,09/01/2024,January,Stour,10:15,10:56,11:45,Slack,Lorna & Julia,51.94671,1.061797,W3W6+MPM,1,0,2,"Very cold, big waves water temp 1 degree. Sunny ",NC,170,NC,180,NA,NA,NA,membrane filtration,,
AB83,3 Manningtree CSO,St_3,09/02/2024,February,Stour,10:30,11:38,11:22,Flood,Lorna & Julia & Ellie,51.94671,1.061797,W3W6+MPM,1,0,0,Very calm still water,NC,310,NC,460,NA,NA,NA,membrane filtration,,
AC01,3 Manningtree CSO,St_3,11/03/2024,March,Stour,12:00,12:55,11:34,Slack,"Catherine, Lorna & Julia",51.94671,1.061797,W3W6+MPM,1,0,0,"Cloudy, grey, fairly calm",1230,40,1270,90,1980,0,0,membrane filtration,,
AC19,3 Manningtree CSO,St_3,05/04/2024,April,Stour,09:08,10:02,12:05,Slack,Julia & Lorna,51.94671,1.061797,W3W6+MPM,1,0,0,"Light rain, water calm",100,0,100,10,120,10,10,membrane filtration,,
AC60,3 Manningtree CSO,St_3,20/05/2024,May,Stour,09:08,10:02,,,"Catherine, Lorna & Julia",51.94671,1.061797,W3W6+MPM,1,0,,,,,,,,,,,,
AC96,3 Manningtree CSO,St_3,24/06/2024,June,Stour,,,,,"Catherine, Lorna & Julia",51.94671,1.061797,W3W6+MPM,1,0,,,,,,,,,,,,
AA32,4 Manningtree beach,St_4,04/08/2023,August,Stour,16:15,14:54,01:21,ebb,CatherineA,51.94611,1.065297,W3W8+C4V,1,0,0,Heavy rain just before,592,32,624,8,NA,NA,NA,membrane filtration,,
AA33,4 Manningtree beach,St_4,04/08/2023,August,Stour,16:15,14:54,01:21,ebb,CatherineA,51.94611,1.065297,W3W8+C4V,1,0,0,Heavy rain just before,480,8,488,24,NA,NA,NA,membrane filtration,,
AA34,4 Manningtree beach,St_4,04/08/2023,August,Stour,16:15,14:54,01:21,ebb,CatherineA,51.94611,1.065297,W3W8+C4V,1,0,0,Heavy rain just before,360,0,360,8,NA,NA,NA,membrane filtration,,
AA74,4 Manningtree beach,St_4,04/09/2023,September,Stour,15:49,15:48,,,"JuliaE, CathA",51.94611,1.065297,W3W8+C4V,1,0,4,,1016,32,1048,1016,NA,NA,NA,membrane filtration,,
AB06,4 Manningtree beach,St_4,02/10/2023,October,Stour,15:00,14:42,00:18,,"JuliaE, LornaC",51.94611,1.065297,W3W8+C4V,1,0,3,Big tide. Warm. Scum on water,192,16,208,160,16,0,0,membrane filtration,,
AB32,4 Manningtree beach,St_4,01/11/2023,November,Stour,15:02,13:56,,,"Julia, Cath, Lorna",51.94611,1.065297,W3W8+C4V,1,0,0,"Grey day, rain earlier in day. Very large tide",620,140,760,300,170,10,10,membrane filtration,,
AB52,4 Manningtree beach,St_4,12/12/2023,December,Stour,10:20,11.19,11:20,,"Julia, Cath, Lorna",51.94611,1.065297,W3W8+C4V,1,1,1,"Sunny, mild and calm",2560,140,2700,400,420,160,160,membrane filtration,,
AB68,4 Manningtree Beach,St_4,09/01/2024,January,Stour,10:30,10:56,12:00,Slack,Lorna & Julia,51.94611,1.065297,W3W8+C4V,1,0,2,"Very cold, ice piled on beach, big waves, water temp 1 degree. Sunny",960,140,1100,160,NA,NA,NA,membrane filtration,,
AB84,4 Manningtree Beach,St_4,09/02/2024,February,Stour,10:45,11:38,11:37,Slack,Lorna & Julia & Ellie,51.94611,1.065297,W3W8+C4V,1,0,0,Very calm still water,NC,350,NC,620,NA,NA,NA,membrane filtration,,
AC02,4 Manningtree Beach,St_4,11/03/2024,March,Stour,12:13,12:55,12:13,Slack,"Catherine, Lorna & Julia",51.94611,1.065297,W3W8+C4V,1,0,0,"Cloudy, grey, fairly calm",1020,90,1110,50,690,0,0,membrane filtration,,
AC20,4 Manningtree Beach,St_4,05/04/2024,April,Stour,09:18,10:02,12:15,Slack,Julia & Lorna,51.94611,1.065297,W3W8+C4V,1,0,0,"Light rain, water calm",170,10,180,20,30,10,10,membrane filtration,,
AC61,4 Manningtree Beach,St_4,20/05/2024,May,Stour,09:18,10:02,,,"Catherine, Lorna & Julia",51.94611,1.065297,W3W8+C4V,1,0,,,,,,,,,,,,
AC97,4 Manningtree Beach,St_4,24/06/2024,June,Stour,,,,,"Catherine, Lorna & Julia",51.94611,1.065297,W3W8+C4V,1,0,,,,,,,,,,,,
AA75,5 Manningtree Mid-river from beach,St_5,05/09/2023,September,Stour,16:30,16:28,,,JuliaE,51.947642,1.065644,W3X8+372,1,0,5,Water clear-ish. Sunny hot day.,736,8,744,736,NA,NA,NA,membrane filtration,,
AB33,5 Manningtree Mid-river from beach,St_5,01/11/2023,November,Stour,13:35,13:56,,,"Julia, Cath, Lorna",51.947642,1.065644,W3X8+372,1,0,0,"Grey day, rain earlier in day. Very large tide",360,20,380,40,20,10,10,membrane filtration,,
AB53,5 Manningtree Mid-river from beach,St_5,12/12/2023,December,Stour,10:30,11.19,11:30,,"Julia, Cath, Lorna",51.947642,1.065644,W3X8+372,1,0,1,"Sunny, mild and calm",3940,40,3980,260,380,230,230,membrane filtration,,
AB69,5 Manningtree Mid-river from beach,St_5,09/01/2024,January,Stour,10:40,10:56,12:10,Slack,Lorna & Julia,51.947642,1.065644,W3X8+372,1,0,2,"Very cold, ice piled on beach, big waves, water temp 1 degree. Sunny",595,70,665,100,NA,NA,NA,membrane filtration,,
AB85,5 Manningtree Mid-river from beach,St_5,09/02/2024,February,Stour,10:56,11:38,11:54,Slack,Lorna & Julia & Ellie,51.947642,1.065644,W3X8+372,1,0,0,Very calm still water,NC,240,NC,310,NA,NA,NA,membrane filtration,,
AC03,5 Manningtree Mid-river from beach,St_5,11/03/2024,March,Stour,12:10,12:55,12:16,Slack,"Catherine, Lorna & Julia",51.947642,1.065644,W3X8+372,1,0,0,"Cloudy, grey, fairly calm",720,210,930,160,530,0,0,membrane filtration,,
AC21,5 Manningtree Mid-river from beach,St_5,05/04/2024,April,Stour,09:08,10:02,12:05,Slack,Julia & Lorna,51.947642,1.065644,W3X8+372,1,0,0,"Light rain, water calm",30,0,30,10,190,0,0,membrane filtration,,
AC62,5 Manningtree Mid-river from beach,St_5,20/05/2024,May,Stour,09:08,10:02,,,"Catherine, Lorna & Julia",51.947642,1.065644,W3X8+372,1,0,,,,,,,,,,,,
AC98,5 Manningtree Mid-river from beach,St_5,24/06/2024,June,Stour,,,,,"Catherine, Lorna & Julia",51.947642,1.065644,W3X8+372,1,0,,,,,,,,,,,,
AB39,Dedham Downstream of STW,St_6,27/11/2023,November,Stour,10:00,NA,NA,NA,Rob and PACE,51.96399,0.997965,XX7X+H5W,1,0,0,raining - about 1 cm that day,1000,180,1180,40,720,590,320,membrane filtration,?,
AB58,Dedham Downstream of STW,St_6,30/12/2023,December,Stour,12:00,NA,NA,NA,PACE,51.96399,0.997965,XX7X+H5W,1,0,0,,3280,200,3480,480,40,90,90,membrane filtration,,
AB75,Dedham Downstream of STW,St_6,31/01/2024,January,Stour,12:00,NA,NA,NA,PACE,51.96399,0.997965,XX7X+H5W,1,0,0,,1220,30,1250,20,NA,NA,NA,membrane filtration,,
AC12,Dedham Downstream of STW,St_6,25/03/2024,March,Stour,12:00,NA,NA,NA,PACE,51.96399,0.997965,XX7X+H5W,1,0,,,NC,50,NC,10,1080,0,0,membrane filtration,,
AC46,Dedham Downstream of STW,St_6,27/04/2024,April,Stour,12:00,NA,NA,NA,PACE,51.96399,0.997965,XX7X+H5W,1,0,,,1920,0,1920,10,NC,0,0,membrane filtration,,
AC87,Dedham Downstream of STW,St_6,25/05/2024,May,Stour,,NA,NA,NA,PACE,51.96399,0.997965,XX7X+H5W,1,0,,,,,,,,,,,,
AD07,Dedham Downstream of STW,St_6,28/06/2024,June,Stour,12:00,NA,NA,NA,PACE,51.96399,0.997965,XX7X+H5W,1,0,,,,,,,,,,,,
AB40,Near Fen Bridge,St_7,27/11/2023,November,Stour,10:30,NA,NA,NA,Rob and PACE,51.962921,1.002862,X273+549,1,0,0,raining - about 1 cm that day,1820,500,2320,220,360,380,190,membrane filtration,?,
AB59,Near Fen Bridge,St_7,30/12/2023,December,Stour,12:00,NA,NA,NA,PACE,51.962921,1.002862,X273+549,1,0,0,,680,160,840,80,80,80,80,membrane filtration,,
AB76,Near Fen Bridge,St_7,31/01/2024,January,Stour,12:00,NA,NA,NA,PACE,51.962921,1.002862,X273+549,1,0,0,,2170,80,2250,10,NA,NA,NA,membrane filtration,,
AC13,Near Fen Bridge,St_7,25/03/2024,March,Stour,12:00,NA,NA,NA,PACE,51.962921,1.002862,X273+549,1,0,,,NC,130,NC,110,1160,0,0,membrane filtration,,
AC47,Near Fen Bridge,St_7,27/04/2024,April,Stour,12:00,NA,NA,NA,PACE,51.962921,1.002862,X273+549,1,0,,,1870,20,1890,50,1380,0,0,membrane filtration,,
AC88,Near Fen Bridge,St_7,25/05/2024,May,Stour,,NA,NA,NA,PACE,51.962921,1.002862,X273+549,1,0,,,,,,,,,,,,
AD08,Near Fen Bridge,St_7,28/06/2024,June,Stour,12:00,NA,NA,NA,PACE,51.962921,1.002862,X273+549,1,0,,,,,,,,,,,,
AB60,Langham Lowlift,St_8,30/12/2023,December,Stour,12:00,NA,NA,NA,PACE,51.971493,0.945254,XWCW+H4R,1,0,0,,1940,160,2100,140,2510,10,10,membrane filtration,,
AB77,Langham Lowlift,St_8,31/01/2024,January,Stour,12:00,NA,NA,NA,PACE,51.971493,0.945254,XWCW+H4R,1,0,0,,1010,70,1080,70,NA,NA,NA,membrane filtration,,
AC14,Langham Lowlift,St_8,25/03/2024,March,Stour,12:00,NA,NA,NA,PACE,51.971493,0.945254,XWCW+H4R,1,0,,,NC,20,NC,10,590,0,0,membrane filtration,,
AC48,Langham Lowlift,St_8,27/04/2024,April,Stour,12:00,NA,NA,NA,PACE,51.971493,0.945254,XWCW+H4R,1,0,,,2020,30,2050,0,NC,0,0,membrane filtration,,
AD09,Langham Lowlift,St_8,28/06/2024,June,Stour,12:00,NA,NA,NA,PACE,51.971493,0.945254,XWCW+H4R,1,0,,,,,,,,,,,,
AB61,Higham Bridge,St_9,30/12/2023,December,Stour,12:00,NA,NA,NA,PACE,51.979839,0.958167,XXH5+W6H,1,0,0,,NC,560,NC,120,70,50,50,membrane filtration,,
AB78,Higham Bridge.,St_9,31/01/2024,January,Stour,12:00,NA,NA,NA,PACE,51.979839,0.958167,XXH5+W6H,1,0,0,,490,0,490,20,NA,NA,NA,membrane filtration,,
AC15,Higham Bridge.,St_9,25/03/2024,March,Stour,12:00,NA,NA,NA,PACE,51.979839,0.958167,XXH5+W6H,1,0,,,1110,40,1150,0,490,0,0,membrane filtration,,
AC49,Higham Bridge.,St_9,27/04/2024,April,Stour,12:00,NA,NA,NA,PACE,51.979839,0.958167,XXH5+W6H,1,0,,,NC,10,NC,0,NC,0,0,membrane filtration,,
AC90,Higham Bridge.,St_9,25/05/2024,May,Stour,,NA,NA,NA,PACE,51.979839,0.958167,XXH5+W6H,1,0,,,,,,,,,,,,
AD10,Higham Bridge.,St_9,28/06/2024,June,Stour,12:00,NA,NA,NA,PACE,51.979839,0.958167,XXH5+W6H,1,0,,,,,,,,,,,,
AC05,7 Cattawade pond,Su_1,10/03/2024,March,NA,14:00,NA,NA,NA,Ellie,51.960908,1.055249,X364+939,1,0,0,,NC,220,NC,120,NA,NA,NA,membrane filtration,,
AA59,Tollesbury Sewage Outlet,Toll_1,17/08/2023,August,Blackwater,14:15,13:58,00:17,slack,Ian and Rex,51.763555,0.84637,QR7W+CGH,1,1,,,NC,200,NC,32,NA,NA,NA,membrane filtration,,
AA60,Tollesbury Sewage Outlet,Toll_1,17/08/2023,August,Blackwater,14:15,13:58,00:17,slack,Ian and Rex,51.763555,0.84637,QR7W+CGH,1,1,,,144,0,0,16,NA,NA,NA,membrane filtration,,
AA61,Tollesbury Sewage Outlet,Toll_1,17/08/2023,August,Blackwater,14:15,13:58,00:17,slack,Ian and Rex,51.763555,0.84637,QR7W+CGH,1,1,,,NC,152,NC,96,NA,NA,NA,membrane filtration,,
AA89,Tollesbury Sewage Outlet,Toll_1,21/09/2023,September,Blackwater,16:55,16:44,,,Ian and Rex,51.763555,0.84637,QR7W+CGH,1,1,0,,NC,NC,NC,9760,3008,896,896,membrane filtration,,
AB25,Tollesbury Sewage Outlet,Toll_1,19/10/2023,October,Blackwater,15:30,,,,Ian and Rex,51.763555,0.84637,QR7W+CGH,1,0,1,,900,400,1300,0,NA,NA,NA,membrane filtration,,
AB35,Tollesbury Sewage Outlet,Toll_1,16/11/2023,November,Blackwater,13:46,,,,Ian and Rex,51.763555,0.84637,QR7W+CGH,1,0,0,,8080,5360,13440,2400,1060,1600,1600,membrane filtration,,
AB48,Tollesbury Sewage Outlet,Toll_1,09/12/2023,December,Colne,11:00,,,,"Ian, Rex, Caroline",51.763555,0.84637,QR7W+CGH,1,0,0,Heavy rainfall same day,3900,300,4200,340,NC,R,R,membrane filtration,,
AB54,Tollesbury Sewage Outlet,Toll_1,14/12/2023,December,Colne,12:40,,,,"Ian, Rex, Caroline",51.763555,0.84637,QR7W+CGH,1,0,0,,NC,NC,NC,2780,NC,R,R,membrane filtration,,
AB70,Tollesbury Sewage Outlet,Toll_1,11/01/2024,January,Blackwater,11:45,,,,"Ian, Rex, Caroline",51.763555,0.84637,QR7W+CGH,1,0,3,,3050,5300,8350,5950,NA,NA,NA,membrane filtration,,
AB86,Tollesbury Sewage Outlet,Toll_1,14/02/2024,February,Blackwater,14:45,,,,"Ian, Rex, Caroline",51.763555,0.84637,QR7W+CGH,1,0,,,NC,5700,NC,5700,NA,NA,NA,membrane filtration,,
AC06,Tollesbury Sewage Outlet,Toll_1,13/03/2024,March,Blackwater,14:00,,,,"Ian, Rex, Caroline",51.763555,0.84637,QR7W+CGH,1,0,,,10700,2100,12800,1100,NA,NA,NA,membrane filtration,,
AC40,Tollesbury Sewage Outlet,Toll_1,10/04/2024,April,Blackwater,14:30,,,,"Ian, Rex, Caroline",51.763555,0.84637,QR7W+CGH,1,0,,,1120,0,1120,60,NA,NA,NA,membrane filtration,,
AC53,Tollesbury Sewage Outlet,Toll_1,08/05/2024,May,Blackwater,14:30,,,,"Ian, Rex, Caroline",51.763555,0.84637,QR7W+CGH,1,0,,,NC,5900,NC,900,NA,NA,NA,membrane filtration,,
AD02,Tollesbury Sewage Outlet,Toll_1,26/06/2024,June,Blackwater,14:30,,,,"Ian, Rex, Caroline",51.763555,0.84637,QR7W+CGH,1,0,,,,,,,,,,,,
